location_stand,banking,bike_stands,available_bike_stands,available_bikes,longitude,latitude,holiday,workingday,weather,Season,temp,humidity,windspeed,casual,registered,count,date_time
South Dock Street (jct with Barrow St),TRUE,25,10,15,53.341087, -6.236043,0,1,2,2,8.2,59,6.0032,3,60,63,26-07-2020 09:00
Milltown Road (outside Poise),FALSE,29,29,0,53.313495,-6.24677,0,1,2,2,6.56,80,6.0032,2,45,47,26-07-2020 10:00
St Stephens Green South,FALSE,30,15,15,53.336882,-6.259567,0,1,2,2,6.56,86,15.0013,4,72,76,26-07-2020 11:00
Earlsfort Terrace (Outside HPRA),FALSE,20,11,9,53.334384,-6.258206,0,1,2,2,6.56,86,15.0013,6,130,136,26-07-2020 12:00
Chancery Place (outside Dublin Christian Mission),FALSE,40,37,3,53.346122, -6.272299,0,1,3,2,6.56,93,7.0015,1,94,95,26-07-2020 13:00
McAuley Road (Outside Entrance to St Pauls Artane FC),FALSE,30,29,1,53.382456,-6.195036,0,1,3,2,6.56,93,0,0,51,51,26-07-2020 14:00
Wynnefield Road (Outside Rathmine Bikes),TRUE,29,29,0,53.322066,-6.267124,0,1,3,2,6.56,93,12.998,0,32,32,26-07-2020 15:00
Lesson Street Lower (Outside The Sugar Club),FALSE,30,1,24,53.335506, -6.256507,0,1,3,2,6.56,86,6.0032,0,20,20,26-07-2020 16:00
East Road (Jct with Bargy Road),FALSE,40,32,8,53.354491,-6.229751,0,1,3,2,6.56,93,7.0015,1,28,29,26-07-2020 17:00
Fassaugh Avenue (Outside Londis),FALSE,40,22,18,53.367071,-6.293967,0,1,3,2,6.56,93,6.0032,1,18,19,26-07-2020 18:00
Grantham Street (Jct with Camden St Lower),FALSE,40,40,0,53.334169, -6.265531,0,1,2,2,6.56,86,6.0032,0,7,7,26-07-2020 19:00
St Marys Road Ballsbridge (Jct with Baggot Lane),TRUE,40,35,5,53.333541, -6.241728,0,1,2,2,6.56,86,7.0015,0,6,6,26-07-2020 20:00
Church Road (Outside Colt Technology),FALSE,40,35,5,53.356739,-6.233024,0,1,1,2,5.74,86,8.9981,0,1,1,26-07-2020 21:00
East Wall Road (Jct with Sheriff St Upper),TRUE,40,33,7,53.349525, -6.227120,0,1,1,2,5.74,86,11.0014,0,5,5,26-07-2020 22:00
Fitzmaurice Rd (Outside Ballgall Credit Union),FALSE,30,0,30,53.382604,-6.277686,0,1,1,2,4.92,93,8.9981,0,16,16,26-07-2020 23:00
Haddington Road,TRUE,21,12,9,53.33678,-6.2358456,0,1,1,2,19.68,55,7.0015,22,82,104,27-07-2020 00:00
Clancarthy Road,TRUE,29,10,19,53.374318,-6.2178078,0,1,1,2,18.86,59,7.0015,7,40,47,27-07-2020 01:00
Anglesea Road(RDS Main Venue Gate),FALSE,40,31,9,53.327709,-6.2307652,1,0,1,2,18.04,67,0,6,21,27,27-07-2020 02:00
Kevin Street Lower (Outisde DIT Entrance),FALSE,30,20,10,53.337618,-6.2679919,1,0,1,2,18.04,62,0,6,9,15,27-07-2020 03:00
Cabra Road (Downeys Pub @ Dowth Ave Jct),TRUE,20,13,7,53.361108,-6.283,1,0,1,2,16.4,76,0,8,10,18,27-07-2020 04:00
Pearse Street (Outside GoHop),FALSE,40,18,22,53.344744,-6.251984,1,0,1,2,16.4,76,0,0,3,3,27-07-2020 05:00
Daniel Street (Jct Harty Place),FALSE,40,30,10,53.334619,-6.2717671,1,0,1,2,15.58,82,6.0032,0,3,3,27-07-2020 06:00
Erne Street Upper (Outsude Bike Shop) Jct Boyne St,FALSE,30,26,4,53.342148,-6.244941,1,0,1,2,14.76,81,7.0015,2,11,13,27-07-2020 07:00
Lennox Street (Bretzel Bakery),FALSE,30,4,26,53.3313,-6.2649838,1,0,1,2,14.76,81,6.0032,5,42,47,27-07-2020 08:00
Merrion Square South (Between house 76 & 77),TRUE,30,12,18,53.339214,-6.250658,1,0,1,2,16.4,71,11.0014,10,139,149,27-07-2020 09:00
Pearse Street (The Lombard Pub),TRUE,20,17,3,53.344121,-6.248966,1,0,1,2,18.04,62,19.9995,21,279,300,27-07-2020 10:00
Ravendale Park (Outside the Four Provnces Pub),FALSE,33,20,13,53.314549,-6.300165,1,0,1,2,20.5,55,12.998,16,162,178,27-07-2020 11:00
Northumberland Road (Baggot Lane Jct),FALSE,40,38,2,53.333091,-6.23584,1,0,1,2,20.5,55,12.998,31,91,122,27-07-2020 12:00
St Agnes Road (Outside Crumlin Garda Station),FALSE,40,29,11,53.319346,-6.31511,1,0,1,2,21.32,55,12.998,41,95,136,27-07-2020 13:00
"Conrad Hotel, Earlsfort Terrace",FALSE,20,14,6,53.334827,-6.257925,1,0,1,2,21.32,55,19.0012,45,155,200,27-07-2020 14:00
Bishop Street (Intreo/Welfare Centre),TRUE,30,1,29,53.338313,-6.266577,1,0,1,2,22.14,52,16.9979,47,133,180,27-07-2020 15:00
"Military Road, Rathmines (opposite Blackbird)",TRUE,30,15,15,53.326949,-6.265378,1,0,1,2,22.14,52,16.9979,57,106,163,27-07-2020 16:00
Pearse Street(Outside Goldsmith Hall),FALSE,32,9,23,53.343927,-6.248683,1,0,1,2,22.14,52,30.0026,50,112,162,27-07-2020 17:00
Bride Road (Iveagh Fitness Club),FALSE,40,40,0,53.341513,-6.2707143,1,0,1,2,21.32,55,32.9975,70,173,243,27-07-2020 18:00
Blessington Street (Jct with Mountjoy Street),FALSE,30,19,11,53.356716,-6.2676167,1,0,2,2,20.5,63,26.0027,64,267,331,27-07-2020 19:00
New Street South (Peadar Browns Pub),TRUE,30,15,15,53.336184,-6.2733493,1,0,2,2,18.86,67,26.0027,47,216,263,27-07-2020 20:00
New Street South (Fumbally Court),FALSE,40,22,18,53.337025,-6.2728832,1,0,1,2,17.22,77,26.0027,41,168,209,27-07-2020 21:00
North Circular Road (Outside Mr Tubs Dry Cleaning),FALSE,20,5,14,53.360855,-6.27365,1,0,2,2,16.4,76,22.0028,26,92,118,27-07-2020 22:00
Lombard Street East (The Lombard Pub),TRUE,40,24,16,53.344291,-6.249048,1,0,2,2,16.4,76,19.9995,25,77,102,27-07-2020 23:00
Lombard Street East (The Lombard Pub),FALSE,40,39,1,53.344291,-6.249048,0,1,1,2,7.38,40,7.0015,3,48,51,28-07-2020 00:00
Macken Street (Outside Flyfit Gym - Hanover St East Jct),TRUE,30,25,5,53.343945,-6.240987,0,1,1,2,8.2,40,0,3,50,53,28-07-2020 01:00
Moss Street (Jct with Townsend Street),FALSE,20,19,1,53.345896,-6.252151,0,1,2,2,7.38,43,6.0032,0,23,23,28-07-2020 02:00
King Street North(Jct with Green Street),TRUE,40,0,40,53.350585,-6.2706952,0,1,2,2,8.2,55,12.998,0,12,12,28-07-2020 03:00
Pearse Street(Outside Maldron Hotel/Centra),FALSE,40,6,34,53.343184,-6.244032,0,1,2,2,7.38,64,12.998,0,4,4,28-07-2020 04:00
Mount Prospect Avenue (Jct with Clontarf Rd),FALSE,36,26,10,53.367156,-6.17288,0,1,2,2,7.38,64,12.998,0,2,2,28-07-2020 05:00
Cork Street (Robisnson Court opposite weaver park),TRUE,40,38,2,53.338403,-6.280837,0,1,2,2,7.38,74,16.9979,0,1,1,28-07-2020 06:00
Cork Street (Intreo Center),FALSE,40,0,40,53.338643,-6.279866,0,1,2,2,7.38,74,12.998,1,0,1,28-07-2020 07:00
Cork Street (Southside Angling opposite Intreo),FALSE,20,4,16,53.338478,-6.279785,0,1,2,2,6.56,74,8.9981,0,7,7,28-07-2020 08:00
"Wilder & Green, Milltown",FALSE,40,0,40,53.31216,-6.247767,0,1,2,2,6.56,74,6.0032,1,28,29,28-07-2020 09:00
Oxmantown Road (Cowper Street Jct),FALSE,40,23,17,53.353598,-6.291439,0,1,1,2,6.56,80,8.9981,0,83,83,28-07-2020 10:00
Oxmantown Road (opposite the mascott pub),FALSE,20,5,15,53.354525,-6.292933,0,1,1,2,7.38,74,8.9981,6,222,228,28-07-2020 11:00
Blackhall Place(Jct with Blackhall Green),FALSE,30,19,11,53.349167,-6.281974,0,1,1,2,9.02,60,8.9981,12,138,150,28-07-2020 12:00
North Circular Road(Spar @ Portland Street Jct),FALSE,40,20,20,53.358943,-6.25684,0,1,1,2,9.84,60,16.9979,10,56,66,28-07-2020 13:00
Cork Street (Centz),TRUE,20,10,10,53.33704426,-6.286518574,0,1,1,2,11.48,52,15.0013,16,73,89,28-07-2020 14:00
All Saints Drive (Outside Raheny GAA),TRUE,40,30,10,53.378562,-6.178134,0,1,1,2,13.12,43,11.0014,10,87,97,28-07-2020 15:00
New Street South (Maldron Hotel),TRUE,40,3,37,53.338325,-6.2723897,0,1,1,2,13.94,42,15.0013,13,74,87,28-07-2020 16:00
St Stephens Green (outside RSCI),TRUE,20,20,0,53.338254,-6.262208,0,1,1,2,14.76,40,19.0012,30,65,95,28-07-2020 17:00
Phibsborough Road (Opposite Bald Eagle Pub),TRUE,40,39,1,53.364132,-6.272032,0,1,1,2,14.76,40,19.9995,31,75,106,28-07-2020 18:00
Causeway Road Clontarf,FALSE,16,12,4,53.36999,-6.14895,0,1,1,2,14.76,46,12.998,17,101,118,28-07-2020 19:00
Parkgate Street (Jct with infirmary road - Nancy Hands pub),TRUE,38,16,22,53.34813,-6.29417,0,1,2,2,14.76,50,16.9979,22,206,228,28-07-2020 20:00
Bridgefoot Street (Jct with Thomas Street),FALSE,30,0,0,53.34365,-6.281284,0,1,2,2,13.94,53,19.9995,15,172,187,28-07-2020 21:00
Princes Street North (pennys at Oconnel Street),TRUE,16,9,7,53.348928,-6.260975,0,1,1,2,13.12,61,16.9979,5,102,107,28-07-2020 22:00
Liffey Street,FALSE,25,4,21,53.34852,-6.264058,0,1,2,2,12.3,70,12.998,9,78,87,28-07-2020 23:00
Seville Place (Jct with Oriel St Lower),FALSE,30,0,30,53.352352, -6.243393,0,1,1,2,5.74,69,8.9981,0,54,54,29-07-2020 00:00
Percy Place (opposite Investment house),FALSE,40,39,1,53.335487, -6.242767,0,1,1,2,6.56,59,11.0014,3,125,128,29-07-2020 01:00
Chancery Lane (Outside Plus Architecture),FALSE,30,29,1,53.341102, -6.268772,0,1,1,2,6.56,59,22.0028,3,78,81,29-07-2020 02:00
Seville Place (Jct with Coburg Place),FALSE,20,20,0,53.353055, -6.244337,0,1,1,2,7.38,55,15.0013,0,39,39,29-07-2020 03:00
Hatch Street Upper (Outside Eversheds),FALSE,20,19,1,53.333891, -6.257983,0,1,1,2,8.2,51,26.0027,3,32,35,29-07-2020 04:00
Pearse Street (Outside Aras An Phiarsaigh),FALSE,30,5,25,53.345087,-6.2547123,0,1,1,2,8.2,47,39.0007,3,52,55,29-07-2020 05:00
Eblana Villas (Jct with Grand Canal Street Lower),FALSE,22,1,21,53.340457,-6.243109,0,1,1,2,9.02,44,23.9994,0,49,49,29-07-2020 06:00
Hatch Street Upper (Outside Hardwicke House),FALSE,38,24,14,53.333835,-6.2598105,0,1,1,2,8.2,47,22.0028,0,44,44,29-07-2020 07:00
Blackhall Place (outside Spar),TRUE,40,23,17,53.34707291,-6.282331844,0,1,1,2,8.2,47,27.9993,1,48,49,29-07-2020 08:00
Fassaugh Avenue (Outside NCBI),FALSE,27,16,11,53.366893,-6.292718,0,1,1,2,9.02,44,22.0028,5,63,68,29-07-2020 09:00
Anglesea Road (Jct Merrion Road),FALSE,40,35,5,53.328537,-6.23059,0,1,1,2,8.2,47,23.9994,0,139,139,29-07-2020 10:00
Anglesea Road (Jct Merrion Road),FALSE,30,30,0,53.328424,-6.230617,0,1,1,2,8.2,47,35.0008,2,135,137,29-07-2020 11:00
Hatch Street Upper (Outside One Place Park),FALSE,40,40,0,53.33397937,-6.261724242,0,1,1,2,7.38,47,27.9993,1,82,83,29-07-2020 12:00
Richmond Road (Jct with Richmond Avenue),TRUE,30,25,5,53.363278,-6.243744,0,1,1,2,6.56,50,22.0028,2,54,56,29-07-2020 13:00
Mountjoy Square North (Jct with MJS East),FALSE,20,14,6,53.357415,-6.257314,0,1,1,2,6.56,55,22.0028,0,57,57,29-07-2020 14:00
Clontarf Road (Jct with Dollymount Park),TRUE,40,1,39,53.362822,-6.178398,0,1,1,2,6.56,55,30.0026,1,32,33,29-07-2020 15:00
Cullenswood Park ( Jct with Ranelagh Road),FALSE,40,6,34,53.323646,-6.250202,0,1,1,2,5.74,59,27.9993,1,19,20,29-07-2020 16:00
N1 Ramp Road (Just off Ellenfield Park),FALSE,36,23,13,53.387103,-6.242104,0,1,1,2,5.74,59,19.0012,1,6,7,29-07-2020 17:00
Lorcan Avenue (Outside Kilmardinny Inn),TRUE,40,40,0,53.391242,-6.234954,0,1,1,2,5.74,50,19.0012,0,2,2,29-07-2020 18:00
Morehampton Road (Jct with Herbert Park),FALSE,40,0,40,53.324841,-6.240554,0,1,1,2,5.74,50,23.9994,0,2,2,29-07-2020 19:00
Walkinstown Road (Carprk opposite Halfway house),FALSE,20,18,2,53.323811,-6.327954,0,1,1,2,5.74,50,22.0028,0,3,3,29-07-2020 20:00
Mellows Road (Outside Community Center),FALSE,40,0,40,53.39013,-6.311036,0,1,1,2,5.74,50,16.9979,0,4,4,29-07-2020 21:00
Fassaugh Avenue (Cabra House Pub),FALSE,40,18,22,53.367375,-6.298704,0,1,1,2,5.74,50,19.9995,0,3,3,29-07-2020 22:00
Fassaugh Avenue (outside spar & Centra),FALSE,20,5,15,53.367392,-6.299124,0,1,1,2,4.92,54,8.9981,0,28,28,29-07-2020 23:00
Macken Street (Outside Flyfit Gym - Hanover St East Jct),FALSE,30,12,18,53.343945,-6.240987,1,0,2,2,15.58,82,26.0027,16,64,80,30-07-2020 00:00
Moss Street (Jct with Townsend Street),TRUE,30,23,7,53.345896,-6.252151,1,0,2,2,14.76,81,12.998,8,56,64,30-07-2020 01:00
King Street North(Jct with Green Street),FALSE,40,39,1,53.350585,-6.2706952,0,0,2,2,14.76,81,15.0013,7,36,43,30-07-2020 02:00
Pearse Street(Outside Maldron Hotel/Centra),FALSE,30,30,0,53.343184,-6.244032,0,0,2,2,14.76,87,19.0012,5,28,33,30-07-2020 03:00
Mount Prospect Avenue (Jct with Clontarf Rd),TRUE,40,19,21,53.367156,-6.17288,0,0,2,2,14.76,87,8.9981,5,19,24,30-07-2020 04:00
Cork Street (Robisnson Court opposite weaver park),FALSE,30,15,15,53.338403,-6.280837,0,0,2,2,14.76,87,11.0014,5,9,14,30-07-2020 05:00
Cork Street (Intreo Center),TRUE,38,16,22,53.338643,-6.279866,0,0,2,2,14.76,87,15.0013,1,4,5,30-07-2020 06:00
Cork Street (Southside Angling opposite Intreo),FALSE,30,30,0,53.338478,-6.279785,0,0,2,2,15.58,87,19.0012,1,3,4,30-07-2020 07:00
"Wilder & Green, Milltown",FALSE,40,20,20,53.31216,-6.247767,0,0,3,2,16.4,82,22.0028,1,9,10,30-07-2020 08:00
Oxmantown Road (Cowper Street Jct),FALSE,30,21,9,53.353598,-6.291439,0,0,2,2,16.4,82,27.9993,3,18,21,30-07-2020 09:00
Oxmantown Road (opposite the mascott pub),FALSE,20,14,6,53.354525,-6.292933,0,0,3,2,16.4,87,23.9994,7,38,45,30-07-2020 10:00
Blackhall Place(Jct with Blackhall Green),FALSE,30,9,21,53.349167,-6.281974,0,0,3,2,16.4,100,19.9995,2,27,29,30-07-2020 11:00
North Circular Road(Spar @ Portland Street Jct),TRUE,40,35,5,53.358943,-6.25684,0,0,3,2,17.22,94,26.0027,1,21,22,30-07-2020 12:00
Cork Street (Centz),FALSE,31,31,0,53.33704426,-6.286518574,0,0,3,2,17.22,94,30.0026,4,27,31,30-07-2020 13:00
All Saints Drive (Outside Raheny GAA),FALSE,35,29,6,53.378562,-6.178134,0,0,2,2,18.86,88,39.0007,6,26,32,30-07-2020 14:00
New Street South (Maldron Hotel),TRUE,40,35,5,53.338325,-6.2723897,0,0,3,2,18.86,94,35.0008,9,49,58,30-07-2020 15:00
St Stephens Green (outside RSCI),FALSE,30,3,27,53.338254,-6.262208,0,0,3,2,21.32,83,39.0007,14,49,63,30-07-2020 16:00
Phibsborough Road (Opposite Bald Eagle Pub),FALSE,30,17,13,53.364132,-6.272032,0,0,3,2,21.32,83,39.0007,16,62,78,30-07-2020 17:00
Causeway Road Clontarf,FALSE,24,3,20,53.36999,-6.14895,0,0,3,2,20.5,88,31.0009,6,27,33,30-07-2020 18:00
Parkgate Street (Jct with infirmary road - Nancy Hands pub),FALSE,40,27,13,53.34813,-6.29417,0,0,3,2,20.5,88,39.0007,1,14,15,30-07-2020 19:00
Bridgefoot Street (Jct with Thomas Street),FALSE,36,28,8,53.34365,-6.281284,0,0,2,2,20.5,94,26.0027,6,32,38,30-07-2020 20:00
Princes Street North (pennys at Oconnel Street),FALSE,40,11,29,53.348928,-6.260975,0,0,2,2,21.32,94,27.9993,9,62,71,30-07-2020 21:00
Liffey Street,FALSE,40,32,8,53.34852,-6.264058,0,0,3,2,18.04,94,15.0013,4,49,53,30-07-2020 22:00
North Strand Road jct with Shamrock Place,TRUE,40,40,0,53.356239,-6.244854,0,0,2,2,18.04,94,0,1,13,14,30-07-2020 23:00
North Strand Road jct with Shamrock Place,FALSE,20,15,5,53.356239,-6.244854,0,1,2,2,12.3,70,15.0013,6,64,70,31-07-2020 00:00
Parkgate Street,TRUE,40,10,30,53.3481122,-6.2941508,0,1,1,2,12.3,70,12.998,4,40,44,31-07-2020 01:00
Mulberry Lane Car Park,FALSE,29,0,29,53.322805, -6.236991,0,1,2,2,12.3,75,11.0014,6,40,46,31-07-2020 02:00
Leinster Street South (Building No.9),TRUE,35,0,35,53.341848,-6.253055,0,0,2,2,11.48,81,7.0015,4,15,19,31-07-2020 03:00
Kilmainham Lane (House No.6),TRUE,40,30,10,53.341653,-6.3028928,0,0,2,2,12.3,81,7.0015,5,20,25,31-07-2020 04:00
Kimmage Road Lower,TRUE,23,8,15,53.314828,-6.295824,0,0,2,2,12.3,87,12.998,5,15,20,31-07-2020 05:00
Wolf Tone Street (opposite Griffith College),FALSE,30,0,30,53.349583,-6.26769,0,0,2,2,12.3,87,12.998,0,2,2,31-07-2020 06:00
Synge Street (close to Synge Lane),TRUE,40,39,1,53.332375,-6.266876,0,0,2,2,12.3,93,11.0014,0,1,1,31-07-2020 07:00
South Dock Street (jct with Barrow St),FALSE,23,21,2,53.341087, -6.236043,0,0,2,2,12.3,100,8.9981,0,3,3,31-07-2020 08:00
Milltown Road (outside Poise),FALSE,40,26,14,53.313495,-6.24677,0,0,2,2,12.3,100,15.0013,1,3,4,31-07-2020 09:00
St Stephens Green South,FALSE,20,20,0,53.336882,-6.259567,0,0,2,2,12.3,100,19.9995,5,10,15,31-07-2020 10:00
Earlsfort Terrace (Outside HPRA),FALSE,20,9,11,53.334384,-6.258206,0,0,2,2,12.3,100,19.9995,11,34,45,31-07-2020 11:00
Chancery Place (outside Dublin Christian Mission),TRUE,21,19,2,53.346122, -6.272299,0,0,2,2,13.12,93,15.0013,15,48,63,31-07-2020 12:00
McAuley Road (Outside Entrance to St Pauls Artane FC),TRUE,29,23,6,53.382456,-6.195036,0,0,2,2,13.94,93,12.998,34,69,103,31-07-2020 13:00
Wynnefield Road (Outside Rathmine Bikes),FALSE,40,36,4,53.322066,-6.267124,0,0,2,2,16.4,76,15.0013,43,116,159,31-07-2020 14:00
Lesson Street Lower (Outside The Sugar Club),FALSE,30,23,7,53.335506, -6.256507,0,0,2,2,18.04,67,16.9979,46,121,167,31-07-2020 15:00
East Road (Jct with Bargy Road),TRUE,20,20,0,53.354491,-6.229751,0,0,2,2,18.86,67,19.0012,60,130,190,31-07-2020 16:00
Fassaugh Avenue (Outside Londis),FALSE,40,1,39,53.367071,-6.293967,0,0,2,2,19.68,59,19.0012,80,118,198,31-07-2020 17:00
Grantham Street (Jct with Camden St Lower),FALSE,40,0,40,53.334169, -6.265531,0,0,2,2,18.86,63,19.9995,83,122,205,31-07-2020 18:00
St Marys Road Ballsbridge (Jct with Baggot Lane),FALSE,30,30,0,53.333541, -6.241728,0,0,2,2,19.68,59,19.9995,74,130,204,31-07-2020 19:00
Church Road (Outside Colt Technology),FALSE,30,0,30,53.356739,-6.233024,0,0,2,2,19.68,59,23.9994,60,104,164,31-07-2020 20:00
East Wall Road (Jct with Sheriff St Upper),TRUE,30,0,30,53.349525, -6.227120,0,0,2,2,19.68,59,22.0028,37,115,152,31-07-2020 21:00
Fitzmaurice Rd (Outside Ballgall Credit Union),TRUE,20,10,10,53.382604,-6.277686,0,0,2,2,18.86,67,22.0028,27,62,89,31-07-2020 22:00
Seville Place (Jct with Oriel St Lower),FALSE,33,29,4,53.352352, -6.243393,0,0,2,2,18.04,77,22.0028,12,58,70,31-07-2020 23:00
Hatch Street Upper (Outside Three Park Place),FALSE,30,19,11,53.33391504,-6.260607446,0,1,1,2,4.92,54,8.9981,0,72,72,01-08-2020 00:00
Sybil Hill Road (Entrance to St Annes Park),FALSE,40,4,36,53.37237867,-6.194035777,0,1,1,2,5.74,50,12.998,5,197,202,01-08-2020 01:00
Arran Quay,TRUE,20,10,10,53.34591638,-6.27587837,0,1,1,2,5.74,50,22.0028,2,137,139,01-08-2020 02:00
Ovova Road (Outside City Building Supply),TRUE,40,28,12,53.333725,-6.269798,0,1,2,2,6.56,50,23.9994,2,36,38,01-08-2020 03:00
"The Ivy, Molesworth Street (Jct with Dawson St)",TRUE,40,0,40,53.341311,-6.257962,0,1,2,2,8.2,44,30.0026,4,33,37,01-08-2020 04:00
Imaal Road,TRUE,20,18,2,53.361605,-6.28613,0,1,1,2,8.2,44,27.9993,3,49,52,01-08-2020 05:00
"Hockey Club, Old Finglas Road",TRUE,40,37,3,53.37729,-6.275765,0,1,1,2,9.02,41,30.0026,2,81,83,01-08-2020 06:00
James Larkin Road (Clontarf),FALSE,16,9,7,53.371418,-6.166817,0,1,1,2,9.02,41,26.0027,3,39,42,01-08-2020 07:00
St Stephens Green South,TRUE,38,6,32,53.336841,-6.259403,0,1,1,2,9.84,38,19.9995,5,55,60,01-08-2020 08:00
Killester Ave (Jct with Killester Park),FALSE,30,0,0,53.3759,-6.209,0,1,1,2,9.84,38,23.9994,2,76,78,01-08-2020 09:00
Killester Ave (Jct with Killester Park),TRUE,16,13,3,53.375602,-6.209501,0,1,1,2,8.2,40,19.0012,4,158,162,01-08-2020 10:00
Dorset Street Upper (Outside Gala),FALSE,25,0,25,53.355902,-6.265499,0,1,1,2,8.2,40,22.0028,3,141,144,01-08-2020 11:00
Coolock Drive (Jct with Oscar Traynor Rd),FALSE,20,17,3,53.392112,-6.205152,0,1,1,2,6.56,47,16.9979,1,98,99,01-08-2020 12:00
Elmfield Rise (Outside Spar),TRUE,40,27,13,53.400056,-6.171093,0,1,1,2,6.56,47,15.0013,0,64,64,01-08-2020 13:00
Carlingford Road (Opposite Andersons Creperie),FALSE,29,3,26,53.366278,-6.256676,0,1,1,2,5.74,46,19.9995,0,40,40,01-08-2020 14:00
Swords Road (The Viscount),TRUE,35,1,34,53.38089,-6.245648,0,1,1,2,5.74,46,22.0028,0,30,30,01-08-2020 15:00
William Street North (Outside Lowrys),TRUE,40,24,16,53.35750389,-6.248031086,0,1,1,2,4.92,50,12.998,1,14,15,01-08-2020 16:00
North Wall Ave (Madden Property Consultants),TRUE,23,18,5,53.349409,-6.229783,0,1,1,2,4.92,50,12.998,0,14,14,01-08-2020 17:00
Kilmainham Lane (Opposite La Dolce Vita),FALSE,30,1,29,53.341904,-6.307589,0,1,1,2,4.1,54,11.0014,0,5,5,01-08-2020 18:00
Harolds Cross Road (Greyhound Stadium),TRUE,40,40,0,53.3240331,-6.278548121,0,1,1,2,4.1,54,8.9981,0,1,1,01-08-2020 19:00
Nelson Street (Centre for Nurse Ed),FALSE,23,23,0,53.358146,-6.267227,0,1,1,2,4.1,54,7.0015,0,1,1,01-08-2020 20:00
Innisfallen Parade (Jct Dorset St Lower),FALSE,40,26,14,53.36073337,-6.26076081,0,1,1,2,4.1,54,6.0032,0,8,8,01-08-2020 21:00
Arnott Street (Jct with Heytesbury St),FALSE,20,20,0,53.335579,-6.268985,0,1,1,2,4.1,54,0,0,17,17,01-08-2020 22:00
Terenure Road North (Terenure Laundrette),FALSE,20,3,17,53.31449,-6.282547,0,1,1,2,4.1,74,11.0014,0,70,70,01-08-2020 23:00
Parkgate Street,TRUE,25,24,1,53.3481122,-6.2941508,0,0,3,2,17.22,100,0,2,22,24,02-08-2020 00:00
Mulberry Lane Car Park,FALSE,29,19,10,53.322805, -6.236991,0,0,2,2,18.04,77,19.0012,5,30,35,02-08-2020 01:00
Leinster Street South (Building No.9),FALSE,30,29,1,53.341848,-6.253055,0,0,2,2,18.04,77,19.0012,4,29,33,02-08-2020 02:00
Kilmainham Lane (House No.6),FALSE,20,10,10,53.341653,-6.3028928,0,0,1,2,17.22,67,15.0013,6,25,31,02-08-2020 03:00
Kimmage Road Lower,FALSE,40,20,20,53.314828,-6.295824,0,0,1,2,16.4,62,12.998,4,25,29,02-08-2020 04:00
Wolf Tone Street (opposite Griffith College),FALSE,30,21,9,53.349583,-6.26769,0,0,1,2,16.4,66,8.9981,12,13,25,02-08-2020 05:00
Synge Street (close to Synge Lane),TRUE,29,9,20,53.332375,-6.266876,0,0,1,2,14.76,76,7.0015,2,5,7,02-08-2020 06:00
South Dock Street (jct with Barrow St),FALSE,30,25,0,53.341087, -6.236043,0,0,1,2,14.76,71,11.0014,2,1,3,02-08-2020 07:00
Milltown Road (outside Poise),FALSE,40,40,0,53.313495,-6.24677,0,0,1,2,14.76,66,30.0026,3,5,8,02-08-2020 08:00
St Stephens Green South,FALSE,40,32,8,53.336882,-6.259567,0,0,1,2,14.76,50,23.9994,2,14,16,02-08-2020 09:00
Earlsfort Terrace (Outside HPRA),FALSE,40,31,9,53.334384,-6.258206,0,0,1,2,15.58,46,26.0027,7,36,43,02-08-2020 10:00
Chancery Place (outside Dublin Christian Mission),TRUE,40,14,26,53.346122, -6.272299,0,0,1,2,16.4,43,19.0012,31,71,102,02-08-2020 11:00
McAuley Road (Outside Entrance to St Pauls Artane FC),FALSE,40,12,28,53.382456,-6.195036,0,0,1,2,17.22,44,30.0026,91,120,211,02-08-2020 12:00
Wynnefield Road (Outside Rathmine Bikes),TRUE,40,33,7,53.322066,-6.267124,0,0,1,2,18.86,41,27.9993,119,185,304,02-08-2020 13:00
Lesson Street Lower (Outside The Sugar Club),FALSE,30,30,0,53.335506, -6.256507,0,0,1,2,18.86,38,26.0027,167,187,354,02-08-2020 14:00
East Road (Jct with Bargy Road),FALSE,30,20,10,53.354491,-6.229751,0,0,1,2,20.5,34,26.0027,181,162,343,02-08-2020 15:00
Fassaugh Avenue (Outside Londis),FALSE,40,35,5,53.367071,-6.293967,0,0,1,2,21.32,34,26.0027,170,191,361,02-08-2020 16:00
Grantham Street (Jct with Camden St Lower),FALSE,30,28,2,53.334169, -6.265531,0,0,1,2,22.14,32,35.0008,179,209,388,02-08-2020 17:00
St Marys Road Ballsbridge (Jct with Baggot Lane),FALSE,20,6,14,53.333541, -6.241728,0,0,1,2,22.14,30,23.9994,161,182,343,02-08-2020 18:00
Church Road (Outside Colt Technology),FALSE,20,12,8,53.356739,-6.233024,0,0,1,2,22.96,30,30.0026,143,163,306,02-08-2020 19:00
East Wall Road (Jct with Sheriff St Upper),FALSE,30,28,2,53.349525, -6.227120,0,0,1,2,22.96,30,26.0027,102,175,277,02-08-2020 20:00
Fitzmaurice Rd (Outside Ballgall Credit Union),FALSE,22,17,5,53.382604,-6.277686,0,0,1,2,22.96,30,19.9995,75,135,210,02-08-2020 21:00
Seville Place (Jct with Oriel St Lower),FALSE,38,18,20,53.352352, -6.243393,0,0,1,2,21.32,36,12.998,44,97,141,02-08-2020 22:00
